"State/UT/All-India","Sector","Fractile.class.of.MPCE","1","2","3","4","5","6","7","8","9","10+"
"Gujarat","Urban","30-40%",4,6.6,11,32.6,26.2,11.2,2.7,3.6,"1.1","1.2"
"Gujarat","Urban","40-50%",3.3,6.3,12.1,32.6,24.1,11.3,5.4,2.4,"0.7","1.9"
"Gujarat","Urban","50-60%",3.6,10.2,16.7,34.1,18.4,9.8,2.5,1.7,"2.2","0.8"
"Gujarat","Urban","60-70%",7.1,11.3,20,33.1,16.1,6.1,2,2.2,"1.7","0.6"
"Gujarat","Urban","70-80%",14.6,13.9,22.6,27.6,12.5,4.5,1.2,1.2,"0.4","1.5"
"Gujarat","Urban","80-90%",22.1,16.7,20.5,24.5,10.8,3.2,0.7,0.5,"0.5","0.6"
"Gujarat","Urban","90-95%",29.6,19.7,19.5,17.4,7.3,4.8,0.5,1.1,"0","0.3"
"Gujarat","Urban","95-100%",34.7,20,17.3,12.7,11.5,3,0.3,0.2,"0.3","0"
"Haryana","Rural","0-5%",0,2,3.8,17.1,19.4,18.9,16,8.9,"5.2","8.8"
"Haryana","Rural","5-10%",0,3.8,5.4,12.8,32.7,9.4,16.3,4.5,"5.6","9.6"
"Haryana","Rural","10-20%",0,3.2,6.5,18.4,24.7,20.7,12.2,7.3,"3.7","3.4"
"Haryana","Rural","20-30%",0,4.3,7.4,22.5,21.8,16.8,13.5,5.8,"4.8","3.2"
"Haryana","Rural","30-40%",0.7,5.8,10.6,23.4,25.5,16.4,7.8,4.6,"2.8","2.2"
"Haryana","Rural","40-50%",0.8,4.9,11,26.2,26.2,14.3,6.6,3.9,"4.4","1.8"
"Haryana","Rural","50-60%",0.6,5.4,10.6,21.7,27.9,13.4,11.7,2.5,"3.1","3.1"
"Haryana","Rural","60-70%",1.2,7,12.2,31,21.3,14.5,6.1,2.9,"2.1","1.6"
"Haryana","Rural","70-80%",2.3,5,13.9,30.8,26.8,13.8,1.9,0.6,"2.5","2.5"
"Haryana","Rural","80-90%",3.7,9,18.6,34.8,16.2,11.6,1.4,0.4,"2.8","1.7"
"Haryana","Rural","90-95%",3,19.6,21.3,32.3,13.9,6.6,1.5,0,"1.3","0.4"
"Haryana","Rural","95-100%",8.9,20,24.1,23.2,10.1,8.2,2.9,2,"0","0.6"
"Haryana","Urban","0-5%",0,3.3,0.7,6,28.7,26.4,13.1,9,"3.1","9.8"
"Haryana","Urban","5-10%",0,3.6,9.4,20.4,20.2,24.5,3,10.7,"4.6","3.5"
"Haryana","Urban","10-20%",0,3.6,9.6,26,21.4,23.1,6.9,4.1,"2.3","2.9"
"Haryana","Urban","20-30%",0.7,2.1,10.6,33.5,17.8,21.4,6.9,2.3,"2.5","2.2"
"Haryana","Urban","30-40%",0.3,1.7,16.2,31.6,19.2,14.9,10.1,2.5,"2.5","1.1"
